 UPDATE  The latest version of `serve` is 14.2.6
 INFO  Accepting connections at http://localhost:9310
 HTTP  28/05/2026 03:56:54 127.0.0.1 GET /
 HTTP  28/05/2026 03:56:54 127.0.0.1 Returned 200 in 8 ms
 HTTP  28/05/2026 03:59:51 ::1 HEAD /mfe-ng.js
 HTTP  28/05/2026 03:59:51 ::1 Returned 200 in 12 ms
 HTTP  28/05/2026 03:59:51 ::1 GET /mfe-ng.js
 HTTP  28/05/2026 03:59:51 ::1 Returned 200 in 1 ms
 HTTP  28/05/2026 03:59:51 ::1 GET /mfe-ng.js
 HTTP  28/05/2026 03:59:51 ::1 Returned 304 in 0 ms
 HTTP  28/05/2026 03:59:51 ::1 GET /mfe-ng.css
 HTTP  28/05/2026 03:59:51 ::1 GET /mfe-ng.js
 HTTP  28/05/2026 03:59:51 ::1 Returned 304 in 1 ms
 HTTP  28/05/2026 03:59:51 ::1 Returned 304 in 2 ms
 HTTP  28/05/2026 04:01:17 ::1 HEAD /mfe-ng.js
 HTTP  28/05/2026 04:01:17 ::1 Returned 304 in 1 ms
 HTTP  28/05/2026 04:01:17 ::1 GET /mfe-ng.js
 HTTP  28/05/2026 04:01:17 ::1 Returned 304 in 1 ms
 HTTP  28/05/2026 04:01:17 ::1 GET /mfe-ng.js
 HTTP  28/05/2026 04:01:17 ::1 Returned 304 in 1 ms
 HTTP  28/05/2026 04:01:17 ::1 GET /mfe-ng.js
 HTTP  28/05/2026 04:01:17 ::1 Returned 304 in 1 ms
 HTTP  28/05/2026 04:01:17 ::1 GET /mfe-ng.css
 HTTP  28/05/2026 04:01:17 ::1 GET /mfe-ng.js
 HTTP  28/05/2026 04:01:17 ::1 Returned 304 in 0 ms
 HTTP  28/05/2026 04:01:17 ::1 Returned 304 in 1 ms

 INFO  Gracefully shutting down. Please wait...
