
> mfe-react-webcomponent@0.1.0 start
> serve -l 9201 --cors .

 UPDATE  The latest version of `serve` is 14.2.6
 INFO  Accepting connections at http://localhost:9201
 HTTP  26/05/2026 22:35:34 ::1 GET /
 HTTP  26/05/2026 22:35:34 ::1 Returned 200 in 9 ms
 HTTP  26/05/2026 22:42:09 ::1 HEAD /mfe-react.js
 HTTP  26/05/2026 22:42:09 ::1 Returned 304 in 2 ms
 HTTP  26/05/2026 22:42:09 ::1 GET /mfe-react.js
 HTTP  26/05/2026 22:42:09 ::1 Returned 304 in 1 ms
 HTTP  26/05/2026 22:42:09 ::1 GET /mfe-react.js
 HTTP  26/05/2026 22:42:09 ::1 Returned 304 in 1 ms
 HTTP  26/05/2026 22:42:09 ::1 GET /mfe-react.css
 HTTP  26/05/2026 22:42:09 ::1 Returned 304 in 1 ms
 HTTP  26/05/2026 22:45:20 ::1 HEAD /mfe-react.js
 HTTP  26/05/2026 22:45:20 ::1 Returned 304 in 1 ms
 HTTP  26/05/2026 22:45:20 ::1 GET /mfe-react.js
 HTTP  26/05/2026 22:45:20 ::1 Returned 304 in 0 ms
 HTTP  26/05/2026 22:45:20 ::1 GET /mfe-react.js
 HTTP  26/05/2026 22:45:20 ::1 Returned 304 in 1 ms
 HTTP  26/05/2026 22:45:20 ::1 GET /mfe-react.css
 HTTP  26/05/2026 22:45:20 ::1 Returned 304 in 1 ms

 INFO  Gracefully shutting down. Please wait...
