
> native-federation-shell-angular@0.1.0 start
> serve --cors -l 9100 .

 UPDATE  The latest version of `serve` is 14.2.6
 INFO  Accepting connections at http://localhost:9100
 HTTP  26/05/2026 22:42:09 ::1 GET /
 HTTP  26/05/2026 22:42:09 ::1 Returned 304 in 9 ms
 HTTP  26/05/2026 22:42:09 ::1 GET /design-system.css
 HTTP  26/05/2026 22:42:09 ::1 GET /styles.css
 HTTP  26/05/2026 22:42:09 ::1 GET /app.js
 HTTP  26/05/2026 22:42:09 ::1 Returned 304 in 2 ms
 HTTP  26/05/2026 22:42:09 ::1 Returned 304 in 1 ms
 HTTP  26/05/2026 22:42:09 ::1 Returned 200 in 20 ms
 HTTP  26/05/2026 22:42:09 ::1 GET /mfe-versions.json
 HTTP  26/05/2026 22:42:09 ::1 Returned 304 in 1 ms
 HTTP  26/05/2026 22:42:09 ::1 GET /design-system/loader.js
 HTTP  26/05/2026 22:42:09 ::1 Returned 304 in 1 ms
 HTTP  26/05/2026 22:42:09 ::1 GET /design-system.css
 HTTP  26/05/2026 22:42:09 ::1 Returned 304 in 1 ms
 HTTP  26/05/2026 22:45:20 ::1 GET /
 HTTP  26/05/2026 22:45:20 ::1 Returned 200 in 1 ms
 HTTP  26/05/2026 22:45:20 ::1 GET /design-system.css
 HTTP  26/05/2026 22:45:20 ::1 Returned 304 in 0 ms
 HTTP  26/05/2026 22:45:20 ::1 GET /styles.css
 HTTP  26/05/2026 22:45:20 ::1 GET /app.js
 HTTP  26/05/2026 22:45:20 ::1 Returned 200 in 2 ms
 HTTP  26/05/2026 22:45:20 ::1 Returned 200 in 1 ms
 HTTP  26/05/2026 22:45:20 ::1 GET /mfe-versions.json
 HTTP  26/05/2026 22:45:20 ::1 Returned 200 in 1 ms
 HTTP  26/05/2026 22:45:20 ::1 GET /design-system/loader.js
 HTTP  26/05/2026 22:45:20 ::1 Returned 304 in 1 ms
 HTTP  26/05/2026 22:45:20 ::1 GET /design-system.css
 HTTP  26/05/2026 22:45:20 ::1 Returned 304 in 1 ms
